evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
15,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.77359913921592,0.7861542595189666,0.40356359591349766,1.0883747657376832,0.6964328173194372,0.9751365841495219,0.1772713563427184,0.4845434500368012,0.4471627925553893,0.48857601978739806,Web openings are too large; keep a remaining ligament larger than 0.177 in.,,,,,,,,,,,,,,
16,True,623.5550512129009,0.0,0.08850992773901836,7.081479199855636,0.01841229669851495,5.581479199855636,0.6805668612329873,0.0,Load Case 2,5.0,0.3620000293409103,0.7302281316367453,0.6019756841677628,0.9344909834087485,0.6669967315167092,0.8707326487221005,0.11463235184902822,0.35466812376911966,0.12240600435388792,0.021180531204471754,,234.38045657620117,4.0,10.154430257397424,4.0,0.010797857334665938,3.99,0.003937223603579658,336.0879743950274,5.0,7.081479199855636,5.0,0.01841229669851495,4.1,0.007763931130531751
17,True,455.3704034730385,0.0,0.09260972747268009,6.269107380960617,0.017605456567035205,4.769107380960617,0.6501492048419328,0.0,Load Case 2,5.0,0.9871164767492406,0.6143937936102455,0.6668178350493199,0.6102572015988184,0.8264994483825094,0.6786517356900323,0.12443779401112887,0.20851159911305103,0.5678097009375949,0.03571950975076393,,197.9527570639546,4.0,12.023070733139974,4.0,0.008649296141960684,4.03,0.0033844794296813974,379.63937373733614,5.0,6.269107380960617,5.0,0.017605456567035205,4.41,0.00747473032984905
18,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.5567070773193616,1.3609374126588825,0.40027233954983843,0.8220962162807339,0.9683981286380878,0.5602885144063342,0.13939708181420324,0.1903577090261911,0.7508902135353352,0.5858205282298409,Web openings are too large; keep a remaining ligament larger than 0.139 in.,,,,,,,,,,,,,,
19,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.735296386227559,0.4103631724623148,0.6764664068432903,1.133676217211838,0.6935015049823676,0.8729830799612333,0.16980154731711358,0.7196409089600552,0.3460708615148134,0.45174905015365996,Web openings are too large; keep a remaining ligament larger than 0.170 in.,,,,,,,,,,,,,,
20,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.366558389084915,0.4507785949814268,0.4412768625666682,1.2264619370998207,0.5620198234775857,0.9874746701458386,0.1447204430018441,0.19976795264924985,0.07103440433196487,0.6436956350210397,Web openings are too large; keep a remaining ligament larger than 0.145 in.,,,,,,,,,,,,,,
21,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.38286085867942443,0.6351300573317944,0.6822520189806618,0.7497645969249624,0.44538441670612006,1.2284653687047518,0.1540405468283662,0.33934720163256055,0.15450702662282534,0.7748274828788771,Web openings are too large; keep a remaining ligament larger than 0.154 in.,,,,,,,,,,,,,,
22,True,4727.718894199093,0.0,0.10941705811765787,16.87380854101139,0.00298260732784354,15.373808541011389,0.8828267124685417,0.0,Load Case 2,5.0,1.223852632102121,1.3343377946706467,1.412697171186101,0.7392166399617367,1.1727963993358352,0.5785176140126056,0.09152792630098323,0.5170738980970065,0.6890990180965995,0.17634867176985478,,105.28332280080328,4.0,22.605669508579012,4.0,0.00298260732784354,4.07,0.0013130581903261773,141.04699565693582,5.0,16.87380854101139,5.0,0.00289441215529416,4.25,0.001214313015265693
23,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.1815036538739787,0.8803166459959939,0.9014062871670412,0.6867286627832696,0.47681306780236266,0.866526620695929,0.14493891723484373,0.1803597171823673,0.10930903356634532,0.7096219349047671,Web openings are too large; keep a remaining ligament larger than 0.145 in.,,,,,,,,,,,,,,
24,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8106364225172678,1.319464709505694,0.6218069601319762,0.5353532028616301,0.9773011696254843,0.8795925642929154,0.08674751001144956,0.5282383054348474,0.7436799866913604,0.49958314408554383,Web openings are too large; keep a remaining ligament larger than 0.087 in.,,,,,,,,,,,,,,
