evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,True,0.14649014938346286,0.0,0.14649014938346286,34.16224663904896,0.0018201761421823377,Load Case 1,4.0,0.8099165175142878,0.8492092208396539,0.8903589280806411,1.9092935818152528,1.4031814014407478,1.8660961678795376,0.10430119743621483,0.23988781424671762,0.06607442510491159,0.5299370964986019,,69.66754924365995,4.0,34.16224663904896,4.0,0.001413545791265585,4.0,0.0005006568343140887,53.996856272749085,2.49,44.076640091381186,2.49,0.0018201761421823377,3.61,0.0007908999817578259
2,True,0.2406882326884709,0.0,0.2406882326884709,53.28359101049415,0.0011140216904760023,Load Case 1,4.0,1.410782577817359,0.7615800049372088,1.4189755357695495,1.4992339936057038,1.6541864164131526,1.8127179120766943,0.15076394384208625,0.16495864524286416,0.11794662880331255,0.25549958250020854,,44.666659188403074,4.0,53.28359101049415,4.0,0.0008246865792095053,3.93,0.00030899417234645903,32.806588477769644,2.49,72.54640334250946,2.49,0.0011140216904760023,3.7600000000000002,0.000427080601646936
3,True,0.16486383497082235,0.0,0.16486383497082235,41.94177837423317,0.0010818996198837917,Load Case 1,8.0,1.1258918049413058,0.9266428488063218,1.345894969376185,1.3402572876544705,2.043918294426574,0.9626706897964553,0.10021281881438414,0.0850096537392289,0.030963672126012535,0.5005147911106751,,56.74532869741517,8.0,41.94177837423317,8.0,0.0008500469772069663,4.12,0.0003779954492888135,39.37142231105496,2.49,60.4499370430854,2.49,0.0010818996198837917,3.59,0.00047445136438078794
4,True,0.2035587078927747,0.0,0.2035587078927747,70.41189085327653,0.0006527764580981353,Load Case 1,0.0,1.1763279527526986,1.2449618055662448,0.9884888547860066,0.9334282674941912,1.8550027599878876,1.5846138220464256,0.15607883481104567,0.33943603957290575,0.4637629824294082,0.6066828841228756,,33.80110903369171,0.0,70.41189085327653,0.0,0.0006527764580981353,3.77,0.0003040062975541802,29.88649986381089,2.49,79.63461799961078,2.49,0.0005609071061509947,3.5300000000000002,0.0002653849859332823
5,True,0.1540313737165879,0.0,0.1540313737165879,24.112542225377556,0.0018796336594864907,Load Case 1,4.0,1.2667974991958229,0.7426193236436343,1.5956919825867384,1.4348216444988968,1.1850438459513013,1.576844425304204,0.1446397301038137,0.6144301820010448,0.6767162816988008,0.5586183099484646,,98.70381885718953,4.0,24.112542225377556,4.0,0.0018796336594864907,3.94,0.0006656654786302678,66.42084289470522,2.49,35.83212582491517,2.49,0.0016195215626632873,3.7,0.0006282751162735388
6,True,0.1474066816316887,0.0,0.1474066816316887,25.010852764488412,0.0037567249239731345,Load Case 1,4.0,0.8380235149837008,1.3459394200190369,0.718525185086996,0.9045407192953764,0.8354080936119441,0.8746025508881347,0.14659188455019012,0.6050435667901165,0.4401602862940023,0.15841759341688688,,95.15869060567324,4.0,25.010852764488412,4.0,0.0037567249239731345,4.03,0.0014700143913184624,56.62349694776308,0.0,42.0320207739134,0.0,0.0010940002357475859,3.52,0.0005396239085737366
7,True,0.15716065800965293,0.0,0.15716065800965293,21.605706791810718,0.0010969736056252015,Load Case 1,0.0,1.0833954186076884,1.2742404108759757,1.5138715166571104,0.7258605279189786,1.6752999264229649,1.2281229972093297,0.11427356166165985,0.6541512324691386,0.3363367306418023,0.47588533029585245,,110.15608158220954,0.0,21.605706791810718,0.0,0.0010969736056252015,3.66,0.0005493226831306012,52.86929788990499,0.0,45.0166749888775,0.0,0.000729790320736108,3.3000000000000003,0.0003749798244378038
8,True,0.14668344327679075,0.0,0.14668344327679075,41.31776571234262,0.0008873580024399937,Load Case 1,8.0,1.5283205679372518,1.3588004141143415,0.9589258119187198,1.0394089466323653,2.0152763030538314,1.0097493460821976,0.08450165308769192,0.0937933477549443,0.09858221707237198,0.4709454222051574,,57.60234027584498,8.0,41.31776571234262,8.0,0.0008873580024399937,4.12,0.000412587346548636,30.367356060457183,2.49,78.37363237226681,2.49,0.0006432698445166352,3.81,0.00027699707667877603
9,True,0.26664906023436974,0.0,0.26664906023436974,49.80884774484406,0.0011364670185472032,Load Case 1,4.0,1.253478562995789,1.1544311970911243,0.9268472389910554,1.110076651978423,1.2433102750618152,2.143991839853559,0.18250769705374656,0.21261785479827058,0.23648831016991065,0.006235851431060818,,47.78267532290716,4.0,49.80884774484406,4.0,0.0011364670185472032,3.7600000000000002,0.0004608859011727784,28.225796308051127,2.49,84.32003030224975,2.49,0.0006999431197758576,3.64,0.0003032594479899517
10,True,0.15860670911297806,0.0,0.15860670911297806,27.664603250086532,0.001892851934510852,Load Case 1,4.0,1.1901703493250957,0.7132390934845827,1.1326816384876666,1.818950192861012,1.2138102724570363,1.510794328504311,0.13460173811466397,0.5503547554355507,0.3620747894676647,0.3052100225012477,,86.03051265492324,4.0,27.664603250086532,4.0,0.001793865280024639,4.0600000000000005,0.0006369439919551301,52.912862102708495,2.49,44.979611864128834,2.49,0.001892851934510852,3.8200000000000003,0.0007069369004731159
11,True,0.2731640185753446,0.0,0.2731640185753446,76.70965391385522,0.0004426308008627024,Load Case 1,0.0,1.3721397400910536,1.5430578711477119,1.339485368710749,1.2723524666710007,1.8672626444661828,1.8263674758757666,0.1690343585825087,0.5581346753116936,0.24973652196167806,0.6377037827455905,,31.026081836749455,0.0,76.70965391385522,0.0,0.0004426308008627024,3.83,0.00019023905357786914,23.126467939154,0.0,102.91238620016713,0.0,0.000298356865097351,3.5,0.0001413710701562903
12,True,0.25448614375077994,0.0,0.25448614375077994,73.5595476409018,0.0005685285401290136,Load Case 1,4.0,1.3990070640736347,1.0989956734706672,1.564788174932179,1.1342241431624158,1.837020403268451,1.9530493130030653,0.1659678208280744,0.13743318266540344,0.5051957035428468,0.3238020139068299,,32.35473947744389,4.0,73.5595476409018,4.0,0.0005685285401290136,3.7600000000000002,0.0002463909755588486,27.236830571992698,2.49,87.38167951330303,2.49,0.0005342125932659627,3.5500000000000003,0.00023410882068210072
13,False,inf,inf,inf,0.0,inf,invalid,nan,1.0086695832855646,0.8909644870044706,0.7749212025462132,1.1302151673476029,1.1022266372677425,1.0518956406713977,0.17858548481492592,0.6855789542803689,0.3265922479845676,0.23894789234987576,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
14,True,0.19921440436960752,0.0,0.19921440436960752,66.80268396321294,0.0006107941687891652,Load Case 1,0.0,1.0732347689376192,1.2202086496052145,1.1871901771549003,0.8424777575311815,2.097325707763855,1.2953537470125625,0.13894695113299732,0.225341807151397,0.5795939033282412,0.018159258984800794,,35.627311042032744,0.0,66.80268396321294,0.0,0.0006107941687891652,3.75,0.00030384996438679327,34.371972296276134,2.49,69.2424624192383,2.49,0.0006001100794628036,3.4,0.0003006843380443208
15,True,0.22333411249979446,0.0,0.22333411249979446,55.08225659202994,0.0007663579995016246,Load Case 1,4.0,1.288890667518101,1.0301877923343183,1.1165901010679704,1.8656859697333947,1.5729285793842196,2.008151255292781,0.14117269759555812,0.04922788227882052,0.31222892039032746,0.3874804645826077,,43.20810633499665,4.0,55.08225659202994,4.0,0.0007663579995016246,3.99,0.0002744796819042621,29.21604459391778,2.49,81.46208814643822,2.49,0.0007577152981548015,3.74,0.0003077231632987547
16,True,0.12320471825345324,0.0,0.12320471825345324,26.404051232061928,0.0024389977001609154,Load Case 1,4.0,1.4489036131157365,1.3720782895576304,0.7412338382697772,0.9850998061350822,1.0695045648240056,1.1247463139077136,0.10892387012608498,0.6332699091768699,0.6013340016501539,0.5691854983566838,,90.13768300487207,4.0,26.404051232061928,4.0,0.0024389977001609154,4.03,0.0009511116381394347,47.1080599010043,2.49,50.52214005419613,2.49,0.0008699827766978503,3.88,0.00036223556678649516
17,True,0.18354740930437172,0.0,0.18354740930437172,49.138669590666176,0.0012047499128098687,Load Case 2,2.49,1.3918062492239005,0.7007820106686657,1.5031784962829908,1.9392170039342964,1.917211645526528,1.537869059154885,0.13344231352176822,0.45924224615250764,0.5713977463185084,0.2264107871985127,,47.515407474003354,4.0,50.08901589031193,4.0,0.0007030426957224626,4.0600000000000005,0.0002656536684795315,48.434359737978696,2.49,49.138669590666176,2.49,0.0012047499128098687,3.79,0.00045198530190531896
