rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
833,print_safe_contiguous_closed_tube_seed2502,619,0.08326627,0.08326627,2.90997691,0.07449985,0.96621913,3.75507184,0.10010744,0.00000000,0.20997457,0.52676039,0.04315972
834,print_safe_contiguous_closed_tube_seed2502,379,0.08334621,0.08334621,4.84238633,0.03209466,1.03021850,4.22229030,0.08959952,0.00000000,0.30555336,0.46085858,0.03073402
835,print_safe_contiguous_closed_tube_seed2502,574,0.08335490,0.08335490,1.83443156,0.12536132,1.00507542,4.02932506,0.09861440,0.00000000,0.27457838,0.48501931,0.05429043
836,print_safe_contiguous_closed_tube_seed2502,277,0.08339535,0.08339535,3.99393161,0.04250825,1.34784700,4.80885433,0.08226779,0.00000000,0.37673014,0.43861140,0.05723493
837,print_safe_contiguous_closed_tube_seed2502,196,0.08340809,0.08340809,4.50046304,0.03095123,1.68056604,6.21946627,0.09571213,0.00000000,0.23368538,0.48940117,0.05109423
838,continuous_uniform_both_load_cases_9in_corrected,731,0.08343063,0.08343063,3.68233692,0.02739883,2.89573287,11.27010997,0.06371571,0.00000000,0.24220020,0.20582580,0.15095543
839,print_safe_contiguous_closed_tube_seed2502,699,0.08343601,0.08343601,3.98106791,0.04523907,1.12553385,4.74589005,0.09231226,0.00000000,0.28044712,0.46050414,0.05980276
840,print_safe_contiguous_closed_tube_seed2502,265,0.08345088,0.08345088,4.08339711,0.03355924,1.27935580,4.92414983,0.10358146,0.00000000,0.15636416,0.52582429,0.04604869
841,print_safe_contiguous_closed_tube_seed2502,809,0.08346332,0.08346332,5.29574102,0.02447582,1.17467153,4.36188392,0.10115411,0.00000000,0.18327540,0.53700445,0.06457671
842,print_safe_contiguous_closed_tube_seed2502,496,0.08355540,0.08355540,2.96063226,0.06466925,1.59353548,5.83280336,0.08586117,0.00000000,0.24944621,0.40235625,0.08571380
843,print_safe_contiguous_closed_tube_seed2502,760,0.08357412,0.08357412,6.54174956,0.01786376,1.97080323,7.02020799,0.07912023,0.00000000,0.19417614,0.34623948,0.10109511
844,print_safe_contiguous_closed_tube_seed2502,731,0.08364674,0.08364674,6.18117962,0.01850595,1.61271654,6.27442516,0.07098717,0.00000000,0.34218683,0.32883636,0.05762816
845,print_safe_contiguous_closed_tube_seed2502,710,0.08377087,0.08377087,3.33026400,0.05361841,1.02388438,3.64169082,0.10059115,0.00000000,0.23692882,0.54595025,0.03950833
846,print_safe_contiguous_closed_tube_seed2502,380,0.08377901,0.08377901,5.77859706,0.02390845,1.10265181,4.65351794,0.08425619,0.00000000,0.28409560,0.41218757,0.07001938
847,print_safe_contiguous_closed_tube_seed2502,997,0.08384779,0.08384779,5.53039846,0.02553681,1.20685067,5.47901818,0.09654029,0.00000000,0.20342997,0.46963220,0.07453382
848,print_safe_contiguous_closed_tube_seed2502,20,0.08385729,0.08385729,3.75694970,0.04402436,1.25268326,5.03957291,0.10966387,0.00000000,0.17856364,0.54532519,0.03767101
849,print_safe_contiguous_closed_tube_seed2502,879,0.08394108,0.08394108,6.00366811,0.02053369,1.72848316,6.17903807,0.08651168,0.00000000,0.18472792,0.39909755,0.07367970
850,print_safe_contiguous_closed_tube_seed2502,839,0.08396117,0.08396117,6.03767520,0.02185424,1.13556912,3.98706573,0.08797197,0.00000000,0.25408787,0.42372566,0.09006576
851,print_safe_contiguous_closed_tube_seed2502,768,0.08397146,0.08397146,3.53958759,0.06767293,0.83422909,3.76101798,0.10778752,0.00000000,0.15421249,0.58940185,0.09864077
852,print_safe_contiguous_closed_tube_seed2502,583,0.08398051,0.08398051,3.58003555,0.04406939,1.37584215,5.02122809,0.10858403,0.00000000,0.17031149,0.58819564,0.07872987
853,print_safe_contiguous_closed_tube_seed2502,1,0.08398074,0.08398074,4.00981075,0.04592344,0.94944928,3.48421884,0.08336652,0.00000000,0.25914433,0.45708669,0.08760039
854,continuous_uniform_both_load_cases_9in_corrected,467,0.08403840,0.08403840,7.33460400,0.01469205,1.77485685,5.85328953,0.08672745,0.00000000,0.23372159,0.39139635,0.08708149
855,print_safe_contiguous_closed_tube_seed2502,975,0.08412910,0.08412910,3.41862910,0.05109430,1.39531241,5.52622293,0.08948902,0.00000000,0.17117711,0.41262089,0.10164177
856,print_safe_contiguous_closed_tube_seed2502,371,0.08414321,0.08414321,2.76801827,0.06595577,1.29461484,4.70777602,0.10288957,0.00000000,0.19981197,0.50360880,0.06936352
857,print_safe_contiguous_closed_tube_seed2502,224,0.08419635,0.08419635,4.02903033,0.03926410,0.99484813,3.78297409,0.10678098,0.00000000,0.22110687,0.59414990,0.02185790
858,print_safe_contiguous_closed_tube_seed2502,166,0.08421553,0.08421553,4.44683254,0.02940349,1.49351184,5.85323434,0.10390583,0.00000000,0.16911071,0.55280247,0.03546585
859,print_safe_contiguous_closed_tube_seed2502,548,0.08421557,0.08421557,5.45583486,0.02676372,1.40168880,4.80613117,0.07484573,0.00000000,0.39075070,0.34940346,0.05139933
860,continuous_uniform_both_load_cases_9in_corrected,389,0.08421707,0.08421707,6.72295454,0.01536732,1.74722781,6.66628919,0.05755022,0.00000000,0.34636740,0.24106004,0.17843994
861,continuous_uniform_both_load_cases_9in_corrected,247,0.08429819,0.08429819,6.28307200,0.01666655,1.72125506,6.28553159,0.08281221,0.00000000,0.22758967,0.41335742,0.01470839
862,print_safe_contiguous_closed_tube_seed2502,746,0.08430761,0.08430761,4.93447554,0.02322127,1.82356709,7.10410548,0.08307260,0.00000000,0.21826053,0.34363070,0.10121235
863,print_safe_contiguous_closed_tube_seed2502,932,0.08431518,0.08431518,3.01303811,0.06683406,1.13446776,3.92617199,0.10898016,0.00000000,0.16265994,0.63706711,0.09356059
864,print_safe_contiguous_closed_tube_seed2502,538,0.08433289,0.08433289,3.32810048,0.05010090,1.45179845,5.78334184,0.09075244,0.00000000,0.31665770,0.41263482,0.06114287
865,print_safe_contiguous_closed_tube_seed2502,488,0.08433615,0.08433615,5.36883324,0.02605351,1.99772069,6.44235916,0.07901048,0.00000000,0.32893613,0.36389221,0.08309824
866,print_safe_contiguous_closed_tube_seed2502,887,0.08442963,0.08442963,4.76928259,0.03150144,1.91086931,6.41937179,0.09321043,0.00000000,0.15878995,0.45834620,0.10397954
867,print_safe_contiguous_closed_tube_seed2502,764,0.08446449,0.08446449,2.16711598,0.10206244,1.04449394,4.01235640,0.10656893,0.00000000,0.21496328,0.55095252,0.07812348
868,print_safe_contiguous_closed_tube_seed2502,13,0.08452127,0.08452127,3.85644157,0.03318396,2.06826332,7.88142643,0.09821343,0.00000000,0.16789683,0.40842297,0.10629823
869,print_safe_contiguous_closed_tube_seed2502,849,0.08452974,0.08452974,6.37458622,0.01796153,1.48107905,5.55901989,0.08590998,0.00000000,0.19048087,0.40864053,0.04963498
870,continuous_uniform_both_load_cases_9in_corrected,214,0.08484947,0.08484947,9.08289865,0.00953429,2.10188566,8.21275853,0.05360770,0.00000000,0.46283857,0.19282564,0.05955382
871,print_safe_contiguous_closed_tube_seed2502,656,0.08494992,0.08494992,2.49717524,0.08524374,0.95157882,3.57221566,0.10809060,0.00000000,0.17287123,0.60650821,0.06274233
