rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
1094,continuous_uniform_both_load_cases_9in_corrected,325,7.87196035,0.16146147,8.44709108,0.01501852,3.74055412,13.23115417,0.10058669,0.00000000,0.52043504,0.32283015,0.13413824
1095,continuous_uniform_both_load_cases_9in_corrected,493,7.91527703,0.19108911,8.71121286,0.01539963,3.53299448,12.13523729,0.11778903,0.00000000,0.59556010,0.37375415,0.08652636
1096,continuous_uniform_both_load_cases_9in_corrected,531,8.10029826,0.11410699,11.45909834,0.00786196,2.65803155,10.15791205,0.08759228,0.00000000,0.22986854,0.32293540,0.11277194
1097,continuous_uniform_both_load_cases_9in_corrected,500,8.50281781,0.24992410,7.55587018,0.01613783,4.46227603,16.17744417,0.12747270,0.00000000,0.79708715,0.36154021,0.11851476
1098,continuous_uniform_both_load_cases_9in_corrected,283,8.82520354,0.20378006,8.12069185,0.01334335,4.68906269,17.63934796,0.16864730,0.00000000,0.22666624,0.51122336,0.11276165
1099,continuous_uniform_both_load_cases_9in_corrected,710,9.36950322,0.15531473,13.05678229,0.00768471,2.96370538,11.62622136,0.09460037,0.00000000,0.54935271,0.34072327,0.07756835
1100,continuous_uniform_both_load_cases_9in_corrected,708,9.68144368,0.25362595,12.71851279,0.00968187,3.04993800,9.90324222,0.14075534,0.00000000,0.74716724,0.54712293,0.08585051
1101,continuous_uniform_both_load_cases_9in_corrected,151,10.18161401,0.23080928,12.16006162,0.00932288,3.92088777,13.42877686,0.18795511,0.00000000,0.36765434,0.61040355,0.05825168
1102,continuous_uniform_both_load_cases_9in_corrected,337,10.57633089,0.27287645,14.14285448,0.00812459,3.15689816,11.88807148,0.14463557,0.00000000,0.85145513,0.54793858,0.01620633
1103,continuous_uniform_both_load_cases_9in_corrected,116,11.06917477,0.17222518,15.15379152,0.00617302,3.54843988,12.44585331,0.12549176,0.00000000,0.36180852,0.44279847,0.11517761
1104,continuous_uniform_both_load_cases_9in_corrected,292,11.92543329,0.18264669,14.78191764,0.00608698,4.54901812,15.91397576,0.11616263,0.00000000,0.43656907,0.34960517,0.06117935
1105,continuous_uniform_both_load_cases_9in_corrected,473,12.06433137,0.15474603,16.33624064,0.00455100,4.02358611,15.63763519,0.09718097,0.00000000,0.42555950,0.32091213,0.03039910
1106,continuous_uniform_both_load_cases_9in_corrected,199,13.10002806,0.14358226,17.09812712,0.00657623,4.72137450,17.79168186,0.08972394,0.00000000,0.25754775,0.34604398,0.02645455
1107,continuous_uniform_both_load_cases_9in_corrected,287,13.72256189,0.15793719,18.06757897,0.00470290,4.80326131,17.96474781,0.10315752,0.00000000,0.26676452,0.37268909,0.04899644
1108,continuous_uniform_both_load_cases_9in_corrected,117,14.11892581,0.32287130,18.17493615,0.00570201,4.48541093,13.86722535,0.17016038,0.00000000,0.83545349,0.56009646,0.04470505
1109,continuous_uniform_both_load_cases_9in_corrected,34,14.16571297,0.28002541,16.63651442,0.00643122,5.47220916,18.67110885,0.14679365,0.00000000,0.75224148,0.39458158,0.10633418
1110,continuous_uniform_both_load_cases_9in_corrected,226,14.63365341,0.21682390,18.96532140,0.00410389,5.03041402,18.92332340,0.15448747,0.00000000,0.27805616,0.48956345,0.07477675
1111,continuous_uniform_both_load_cases_9in_corrected,4,14.85537379,0.25615141,20.15949776,0.00438761,4.49750920,17.15459235,0.12098985,0.00000000,0.87687054,0.38038316,0.04042474
1112,continuous_uniform_both_load_cases_9in_corrected,316,15.19630891,0.22901607,17.84557977,0.00423964,6.10406304,15.31374634,0.17283284,0.00000000,0.40667664,0.50764925,0.13411093
1113,continuous_uniform_both_load_cases_9in_corrected,304,16.76370196,0.24402535,22.67249595,0.00360759,5.19846651,19.34364012,0.17721825,0.00000000,0.28865836,0.53385245,0.08424738
1114,continuous_uniform_both_load_cases_9in_corrected,44,17.79175191,0.20466387,24.34883279,0.00268581,5.54653138,21.67193415,0.11018207,0.00000000,0.53728095,0.32031778,0.04882775
1115,continuous_uniform_both_load_cases_9in_corrected,33,18.35334495,0.23934356,24.88753098,0.00305644,5.69976007,20.38517871,0.12260135,0.00000000,0.60831926,0.34226656,0.11994781
