rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
1050,print_safe_contiguous_closed_tube_seed2502,861,0.10768449,0.10768449,6.69406841,0.01829742,2.36510767,9.06604140,0.09228470,0.00000000,0.36498928,0.37919059,0.03267969
1051,print_safe_contiguous_closed_tube_seed2502,436,0.10786502,0.10786502,7.85678476,0.01446954,1.91650346,7.34516067,0.09364282,0.00000000,0.32260447,0.41237799,0.03010681
1052,print_safe_contiguous_closed_tube_seed2502,612,0.10819387,0.10819387,6.31732332,0.02084075,1.92954952,7.08418027,0.09839396,0.00000000,0.30540188,0.41380607,0.05514056
1053,print_safe_contiguous_closed_tube_seed2502,572,0.10846725,0.10846725,3.87831411,0.04910015,1.18744756,4.53716724,0.10888130,0.00000000,0.30475694,0.55201999,0.06025505
1054,print_safe_contiguous_closed_tube_seed2502,30,0.10849777,0.10849777,6.71696234,0.02004082,1.95025872,6.99448688,0.10847272,0.00000000,0.18703357,0.48699057,0.09171578
1055,print_safe_contiguous_closed_tube_seed2502,568,0.10897889,0.10897889,6.84452627,0.01866594,1.82747236,7.11477103,0.10500360,0.00000000,0.25439577,0.48603729,0.05594833
1056,print_safe_contiguous_closed_tube_seed2502,477,0.10901347,0.10901347,3.04398612,0.06431231,1.54480800,5.52800812,0.10758210,0.00000000,0.33671292,0.48592615,0.07736256
1057,print_safe_contiguous_closed_tube_seed2502,944,0.10913237,0.10913237,8.03188791,0.01734869,1.53281783,7.12855486,0.10048048,0.00000000,0.33352322,0.41700722,0.08272669
1058,print_safe_contiguous_closed_tube_seed2502,319,0.10918151,0.10918151,8.20678760,0.01415174,1.83207841,6.93491260,0.09811083,0.00000000,0.23227518,0.42331284,0.07273727
1059,print_safe_contiguous_closed_tube_seed2502,897,0.10928633,0.10928633,5.16923732,0.02856884,1.81283314,6.49465001,0.10341695,0.00000000,0.32746862,0.43401076,0.04700863
1060,print_safe_contiguous_closed_tube_seed2502,939,0.10959776,0.10959776,5.91801141,0.02267533,1.83520491,7.05836015,0.10980422,0.00000000,0.28139727,0.51702897,0.05326428
1061,print_safe_contiguous_closed_tube_seed2502,481,0.10980021,0.10980021,5.43610065,0.02505272,1.91845263,6.56846011,0.10740465,0.00000000,0.23201797,0.45005578,0.08052405
1062,print_safe_contiguous_closed_tube_seed2502,130,0.10985945,0.10985945,8.44297127,0.01461968,1.83461164,6.16941723,0.10524976,0.00000000,0.19002328,0.43413326,0.10180788
1063,print_safe_contiguous_closed_tube_seed2502,826,0.11032044,0.11032044,7.70275915,0.01799143,1.45146936,6.65069726,0.10726607,0.00000000,0.27699979,0.46181151,0.05672258
1065,print_safe_contiguous_closed_tube_seed2502,859,0.11315503,0.11315503,6.48614447,0.02043201,2.14815052,7.99198563,0.10860286,0.00000000,0.31583338,0.49620030,0.04430437
1066,print_safe_contiguous_closed_tube_seed2502,101,0.11402043,0.11402043,8.56923910,0.01329799,2.27564732,8.45408913,0.10480685,0.00000000,0.21421921,0.43487321,0.08978108
1069,print_safe_contiguous_closed_tube_seed2502,707,0.11456727,0.11456727,7.61973086,0.01526377,2.18365572,8.36276256,0.09646699,0.00000000,0.34500818,0.39306073,0.02620643
1071,print_safe_contiguous_closed_tube_seed2502,89,0.11474999,0.11474999,6.82442333,0.01955555,1.84287947,7.18344504,0.10784733,0.00000000,0.16225693,0.48538072,0.11911882
1072,print_safe_contiguous_closed_tube_seed2502,969,0.11498994,0.11498994,6.11454538,0.02307701,1.84791108,7.22108529,0.10339656,0.00000000,0.32767116,0.44840905,0.04614155
1073,print_safe_contiguous_closed_tube_seed2502,318,0.11514863,0.11514863,6.98565319,0.01901851,1.85907563,7.02893775,0.10598374,0.00000000,0.34255315,0.47661339,0.03866367
1075,print_safe_contiguous_closed_tube_seed2502,233,0.11743726,0.11743726,6.38201496,0.02080254,2.77637036,9.88287285,0.10950044,0.00000000,0.30797065,0.45519323,0.05460953
1076,print_safe_contiguous_closed_tube_seed2502,734,0.11841316,0.11841316,8.58348812,0.01378884,1.98724055,7.52871618,0.10268696,0.00000000,0.33068827,0.43035948,0.04103363
1078,print_safe_contiguous_closed_tube_seed2502,53,0.11942530,0.11942530,8.01727699,0.01604986,1.87010312,7.39528323,0.10409594,0.00000000,0.33629259,0.43015536,0.03054544
1079,print_safe_contiguous_closed_tube_seed2502,421,0.11969872,0.11969872,6.51686292,0.02084733,2.03957807,7.35001694,0.10919874,0.00000000,0.32120174,0.45406777,0.04289242
1080,print_safe_contiguous_closed_tube_seed2502,844,0.12016451,0.12016451,8.97509187,0.01219437,2.40628544,9.30420103,0.09919635,0.00000000,0.21846055,0.40971665,0.10116466
1082,print_safe_contiguous_closed_tube_seed2502,269,0.12055616,0.12055616,7.46836089,0.01778208,1.70141628,6.37982004,0.10622140,0.00000000,0.36945380,0.46023396,0.02774645
1083,print_safe_contiguous_closed_tube_seed2502,326,0.12179728,0.12179728,9.48498579,0.01268190,1.72619058,6.27324895,0.10467867,0.00000000,0.33731720,0.42531267,0.05410212
1085,print_safe_contiguous_closed_tube_seed2502,593,0.12404189,0.12404189,8.60133159,0.01381348,2.34065298,8.39040041,0.10955787,0.00000000,0.37766437,0.45380806,0.06658145
