evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8519638073278446,0.8995103184578394,1.2989705622214955,1.112894500240115,0.631463911279297,0.9396347673752183,0.1793019294692792,0.2544142352763625,0.48717621432655406,0.46481940901331925,Web openings are too large; keep a remaining ligament larger than 0.179 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.4457643474963908,1.408411107140553,1.228742756174407,0.9176008754626428,0.7199916908374846,0.9560098885760606,0.16506751730896696,0.03516369016259609,0.2927225955664224,0.05136257846673182,Web openings are too large; keep a remaining ligament larger than 0.165 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.4423964850157897,0.44170725239122427,1.2478246017019905,1.0718116959299324,0.934612865640148,0.9880122134873888,0.1579392003837442,0.09227430888845552,0.6780685409354233,0.32761205707912205,Web openings are too large; keep a remaining ligament larger than 0.158 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8563431229090397,0.4254079524311813,1.2955119778305138,0.9821519599890833,1.137984904498712,0.7153181473332233,0.15723387148382828,0.1107560046335319,0.4339209593251512,0.6244716870016416,Web openings are too large; keep a remaining ligament larger than 0.157 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.433724289825605,0.4544860408315221,0.4451683202777177,0.7578107232751989,1.1270998987083292,0.4779050376949795,0.10605676407989789,0.6149284866961326,0.023860924715665748,0.06774002428614266,Web openings are too large; keep a remaining ligament larger than 0.106 in.,,,,,,,,,,,,,,
6,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.6394279481573426,1.2770600769791578,1.1870005491853157,0.7442025939454838,1.1970788202998914,0.5486524402879481,0.16367136554759643,0.03349307477724414,0.36111179013471645,0.5945612786671106,Web openings are too large; keep a remaining ligament larger than 0.164 in.,,,,,,,,,,,,,,
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.003198252561234,1.2923610562821248,1.0890751425217058,0.4660609465662614,0.5554549517532764,0.9459492553931841,0.11489785967912303,0.5642501912924698,0.19515593009305876,0.35392951917164145,Web openings are too large; keep a remaining ligament larger than 0.115 in.,,,,,,,,,,,,,,
8,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.1040944070392507,0.8437435023558564,1.1905344245429754,0.7158643576642038,1.0069643317133539,0.7309983375351127,0.1109212183463564,0.21494031400743757,0.2716949513548326,0.5724803927888711,Web openings are too large; keep a remaining ligament larger than 0.111 in.,,,,,,,,,,,,,,
9,True,516.8394048593573,0.0,0.08132265414074168,8.060034571826074,0.014098953454500383,6.560034571826074,0.6988784051536014,0.0,Load Case 2,5.0,1.1782458577639083,0.988418707105246,0.7262856623399067,0.6361724501415889,0.581520654220311,0.7481237641255153,0.08603815656890677,0.014254309605668414,0.1931021913250711,0.5967245969967108,,263.6148431212062,4.0,9.028323184767373,4.0,0.014098953454500383,4.0,0.00513494941995693,295.28409323693376,5.0,8.060034571826074,5.0,0.009950750798920958,4.49,0.0045244404263636295
10,True,5184.910520352607,0.0,0.16589279158476666,22.28518526155616,0.0033927336439933922,20.78518526155616,0.9150225489719069,0.0,Load Case 2,5.0,0.7150191397664067,1.1319497426543421,1.2408724217712597,0.9313914994927328,1.022910514455614,0.9201792086207454,0.1439409452358239,0.07288038626207022,0.23843683838547713,0.26801797618844525,,75.12757053023516,4.0,31.679448479465563,4.0,0.002718214921047961,3.92,0.0010971241712829896,106.79740697986041,5.0,22.28518526155616,5.0,0.0033927336439933922,4.0200000000000005,0.0014238731632911755
