evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.6388609123271385,0.5407045678341035,0.7596451033646994,1.193026180708569,0.5282295128577379,1.178560472445003,0.11209400306603252,0.36430738688875847,0.5669846275170197,0.5005268222961291,Web openings are too large; keep a remaining ligament larger than 0.112 in.,,,,,,,,,,,,,,
2,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.431199740972696,0.8602026398819482,0.5603075900980069,0.5565691434103223,0.8860699753901521,0.5823967287704239,0.1533469767906221,0.00048247980867676906,0.1702511210320405,0.12777894344074464,Web openings are too large; keep a remaining ligament larger than 0.153 in.,,,,,,,,,,,,,,
3,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.596331371445677,0.8855389700587175,0.7582425402856086,1.0108207581736408,0.9509989837583546,0.593065892695342,0.13906046051956,0.11797691699180071,0.12482640009656397,0.17083645370788844,Web openings are too large; keep a remaining ligament larger than 0.139 in.,,,,,,,,,,,,,,
4,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.1635158593240553,1.3857114532732715,0.407257208761695,0.936808995607268,0.46232885054443845,0.549983216901271,0.16964886218906217,0.423575407972054,0.28450673040225066,0.6424260933093717,Web openings are too large; keep a remaining ligament larger than 0.170 in.,,,,,,,,,,,,,,
5,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.9324933433442449,0.6795891234143445,1.3125069895388262,0.950223305242152,0.48832478038139693,1.0365626846646965,0.11054364317604973,0.022808632730336974,0.24897612737934885,0.06671349240952865,Web openings are too large; keep a remaining ligament larger than 0.111 in.,,,,,,,,,,,,,,
6,True,4117.874117622615,0.0,0.14130023979662484,20.02313859553266,0.0023718072828555854,18.52313859553266,0.9057124621561986,0.0,Load Case 2,8.0,1.273742196318271,1.4330339351884382,0.8695434177298513,1.032442512398018,1.1819148596672169,1.050153894548689,0.11299491683252827,0.20795101876246394,0.5463543510475036,0.4990294314825221,,70.8830823833792,4.0,33.57641795439284,4.0,0.001921777189570917,4.05,0.0007763062338453017,118.86248445241243,8.0,20.02313859553266,8.0,0.0023718072828555854,4.54,0.001158421220569597
7,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8681243373644609,0.8947787833359392,0.6599781648094069,0.6625668720412035,0.6748435917809068,0.7765431392923158,0.14425630537848638,0.19199093655366484,0.3917949731605278,0.44507944456216586,Web openings are too large; keep a remaining ligament larger than 0.144 in.,,,,,,,,,,,,,,
8,True,10181.990592437403,0.0,0.2214502288810335,30.6280242309584,0.002074623964600729,29.1280242309584,0.9351900338526719,0.0,Load Case 2,5.0,0.8612494387965275,1.4420357198175395,0.8320505888556893,1.1377718860083657,1.0037012737555724,0.9358371203748774,0.17919237482098327,0.2214461342040873,0.0889242193952189,0.13286463977027682,,55.55267982184329,4.0,42.842217650572906,4.0,0.0020183162222291587,4.1,0.0008229150442814678,77.70661215535829,5.0,30.6280242309584,5.0,0.002074623964600729,4.47,0.0010157652344097365
9,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.8913581866100353,1.2593131805516424,1.3997744301736534,1.1422643899691305,0.6661828092856529,0.6836821099527006,0.15131455740199387,0.5548728347106164,0.24449162286964743,0.4845640652408003,Web openings are too large; keep a remaining ligament larger than 0.151 in.,,,,,,,,,,,,,,
10,True,1370.0799364659042,0.0,0.09653871091581964,12.183132240804582,0.005172476573417507,10.683132240804582,0.8632481215361407,0.0,Load Case 2,5.0,1.2944237416930044,1.2341235682273282,0.8373185543458033,0.9343233361126961,0.9250993011766323,0.5357349872153048,0.08741744609897684,0.23135671523081044,0.6202296450932908,0.11941099385553292,,138.94018722945054,4.0,17.12967318857565,4.0,0.005172476573417507,4.33,0.0024431777843834587,195.35206160109965,5.0,12.183132240804582,5.0,0.0049315204428682655,4.61,0.002450078026560755
11,False,105.4445546280595,0.0,0.09459051434636297,4.45605739996822,0.03449749563173899,2.95605739996822,0.5968285647205592,0.003844912169407923,Load Case 2,5.0,0.9397382641221291,0.40791274159601093,0.5699209168779906,0.9653879289596132,0.9755050162719288,1.1802570167405755,0.10955337857472466,0.13313015696563826,0.0957261033691197,0.5578586017869269,Durability check failed: width ratio 2.304 exceeds 2.000.,199.26135266685088,4.0,11.944112433980965,4.0,0.006045490893233011,3.99,0.002159299785660075,534.104430525732,5.0,4.45605739996822,5.0,0.03449749563173899,4.34,0.01344717683754576
12,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.3619579359597662,0.7561845957563773,0.6939416980311672,0.7486252718380135,0.4573730795678703,0.7129460115949554,0.1258905458008927,0.28963657453019037,0.16311251342737554,0.3861991143263571,Web openings are too large; keep a remaining ligament larger than 0.126 in.,,,,,,,,,,,,,,
13,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,1.0524016985735278,1.2367283712868093,1.2102551887316555,0.9123592282799919,0.8234188264016269,0.6778216210803139,0.17263104769597204,0.6792916603371353,0.5595290306401666,0.17317215706080924,Web openings are too large; keep a remaining ligament larger than 0.173 in.,,,,,,,,,,,,,,
14,False,inf,inf,inf,0.0,inf,inf,inf,inf,invalid,nan,0.5346288225032392,1.0507084881016824,0.7201707219931724,0.4822100319091098,0.5540817109120291,0.9198928280949417,0.10173373722037182,0.38778297820069674,0.6735443018975656,0.5719574719399166,Web openings are too large; keep a remaining ligament larger than 0.102 in.,,,,,,,,,,,,,,
