evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
417,True,0.2232682523323905,0.0,0.05287277076997118,2.7305799539219477,0.053140566314941046,1.2305799539219477,0.4733956520634608,0.5187111438077077,7.514063006698327e-07,0.02547874704026452,0.0,Load Case 2,4.5,0.8713471934161001,0.41682054394336254,0.8713471934161001,0.6875371697194224,0.621398564479878,0.6875371697194224,0.07504387266909168,0.6464887446681425,0.45418602172476036,0.6464887446681425,,539.7593309715958,4.5,4.409372591513836,4.5,0.024693602996303958,4.5,0.00870489828414564,871.6097093518878,4.5,2.7305799539219477,4.5,0.053140566314941046,4.6575,0.018927520158499266
418,True,0.24154719129645155,0.0,0.034989672323908816,2.9498319294873183,0.04195994703483885,1.4498319294873183,0.5072844389224835,0.5461448262046527,7.390335387475555e-07,0.02366470443812345,0.0,Load Case 2,5.5,0.6568346474983395,0.6692920923589539,0.6568346474983395,0.333329406470485,0.67549887022688,0.333329406470485,0.042745794436170347,0.32510641588115763,0.05294844032665784,0.32510641588115763,,477.83803304332827,4.5,4.980767196034796,4.5,0.03486200760476955,4.5,0.014923407150436456,806.8256283379659,5.5,2.9498319294873183,5.5,0.04195994703483885,4.82625,0.018211606510746194
419,True,0.2764663454364747,0.0,0.05050907513376355,3.101445352895354,0.04546284256328008,1.6014453528953538,0.48862954693602456,0.5205410173004796,3.2193864089105343e-07,0.011381202905311746,0.0,Load Case 2,5.5,0.49722801175638004,0.600917091160872,0.49722801175638004,0.8123673332409809,0.5188426855159588,0.8123673332409809,0.06237788825621998,0.14085043974273512,0.1980932895719985,0.14085043974273512,,579.3216107352422,4.5,4.10825343970759,4.5,0.030999665784825728,4.5,0.010836752627998379,767.3841480966773,5.5,3.101445352895354,5.5,0.04546284256328008,4.78125,0.018914348832513826
420,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8220252508888761,0.43528674338906775,0.8220252508888761,0.8753625998105523,0.4638335933327331,0.8753625998105523,0.08701686405197778,0.6122301213474781,0.8817826379937153,0.6122301213474781,Web openings are too large; keep a remaining ligament larger than 0.087 in.,,,,,,,,,,,,,,
421,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.896887643032523,0.3479516498604627,0.896887643032523,0.25678448071518695,0.48781469421263046,0.25678448071518695,0.11418592821059084,0.3623645206706935,0.10452931800874792,0.3623645206706935,Web openings are too large; keep a remaining ligament larger than 0.114 in.,,,,,,,,,,,,,,
422,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8767861917978925,0.8674405547375914,0.8767861917978925,0.5499148921229586,0.8813140001483273,0.5499148921229586,0.05521863374160283,0.7595483898391517,0.5760004884601453,0.7595483898391517,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
423,False,107.04263093098545,106.92418311888326,0.05793730950570817,1.0375625812742155,0.18034410004913362,0.0,0.3025525129824599,0.4044482462175602,1.6253096865481221e-06,0.05804641724610544,0.0,Load Case 2,4.5,0.6940449925695795,0.2075065956806069,0.6940449925695795,0.8957240110239235,0.792660554991263,0.8957240110239235,0.07338221154402529,0.23642066019246163,0.26168016275936,0.23642066019246163,Minimum factor of safety 1.038 is below the target 1.500.,554.7489252565243,4.5,4.290229131853571,4.5,0.018648800538654642,4.5,0.006444310555577762,2293.8375409386454,4.5,1.0375625812742155,4.5,0.18034410004913362,4.59,0.05871382234023393
424,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.25484333419888433,0.7132442700880954,0.25484333419888433,0.25653369115222086,0.6311143948639308,0.25653369115222086,0.10968208082047082,0.20089905841324152,0.13379832971619293,0.20089905841324152,Web openings are too large; keep a remaining ligament larger than 0.110 in.,,,,,,,,,,,,,,
425,False,398.85664840811927,398.74835560677894,0.054600548861354396,0.6069732863942099,0.2559017589738874,0.0,0.2684612623950011,0.4220875437623996,2.2552757514418772e-06,0.08023697035176668,0.0,Load Case 2,4.5,0.8291677749650366,0.18446961162638242,0.8291677749650366,0.6555862096796,0.5888018598474242,0.6555862096796,0.0789185203125386,0.29886637038815794,0.20287517457125287,0.29886637038815794,Minimum factor of safety 0.607 is below the target 1.500.,1000.6373082983739,4.5,2.3784841722994425,4.5,0.04071852695325545,4.5,0.013759860046675301,3921.0951344146397,4.5,0.6069732863942099,4.5,0.2559017589738874,4.5562499999999995,0.07928598175322772
426,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.47819177763610954,0.2837375856366513,0.47819177763610954,0.7058164746930389,0.4155816414584533,0.7058164746930389,0.07479820425789566,0.36168108027299134,0.7777761311535382,0.36168108027299134,Web openings are too large; keep a remaining ligament larger than 0.075 in.,,,,,,,,,,,,,,
427,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.6638192050192787,0.4124766701185384,0.6638192050192787,0.40650769846421386,0.6943339258818446,0.40650769846421386,0.0958726681201872,0.5143924972943901,0.5275588133462017,0.5143924972943901,Web openings are too large; keep a remaining ligament larger than 0.096 in.,,,,,,,,,,,,,,
428,True,0.29825617186571085,0.0,0.03697388637004689,3.3133648499975394,0.04065865139302161,1.8133648499975394,0.4843384076766702,0.5292635168990705,2.252361476014208e-06,0.07690761844821528,0.0,Load Case 2,5.5,0.2041352509085438,0.8115171240414298,0.2041352509085438,0.8543462330962726,0.6205477800061314,0.8543462330962726,0.04476454889078346,0.06405046367590317,0.37454029666439126,0.06405046367590317,,461.0796897725402,4.5,5.161797521756166,4.5,0.024439229058028755,4.5,0.009148397928435704,718.3030266050439,5.5,3.3133648499975394,5.5,0.04065865139302161,4.9725,0.021543839136751845
429,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5146661518078042,0.6457928047879753,0.5146661518078042,0.3912727992591001,0.4326242542676955,0.3912727992591001,0.08654528090762947,0.43701538854262306,0.8089164462551254,0.43701538854262306,Web openings are too large; keep a remaining ligament larger than 0.087 in.,,,,,,,,,,,,,,
430,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.870705435451061,0.38759543026084364,0.870705435451061,0.591773647989336,0.40930872150060804,0.591773647989336,0.09049168363708703,0.6751126287422307,0.8858173533871908,0.6751126287422307,Web openings are too large; keep a remaining ligament larger than 0.090 in.,,,,,,,,,,,,,,
431,True,0.13840533611880207,0.0,0.05651501633749286,1.9370102659529385,0.0829978473743641,0.43701026595293846,0.3617071057694815,0.4282145280911274,8.643199109837654e-07,0.03042242862697846,0.0,Load Case 2,4.5,0.7811036207406581,0.3653631048510203,0.7811036207406581,0.7426099020653345,0.5500692284984279,0.7426099020653345,0.06665348898701066,0.12914757825254677,0.01781502341261264,0.12914757825254677,,754.0739857911922,4.5,3.156188974617455,4.5,0.03522262605957678,4.5,0.01201152997624611,1228.697669719952,4.5,1.9370102659529385,4.5,0.0829978473743641,4.64625,0.029070490646547195
432,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.387996753830522,0.7250262768101183,0.387996753830522,0.4208024667586591,0.2367421694027539,0.4208024667586591,0.053366098441215676,0.6665770120794118,0.8056914581549199,0.6665770120794118,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
433,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.5738587057191291,0.30115564300005854,0.5738587057191291,0.4798993195363417,0.7954936714146023,0.4798993195363417,0.040243486158620355,0.8189249762666807,0.8665241747604403,0.8189249762666807,Web openings are too large; keep a remaining ligament larger than 0.060 in.,,,,,,,,,,,,,,
434,True,0.18915002763971278,0.0,0.045278146355384845,2.5831889073274814,0.06146752692907639,1.0831889073274814,0.42603485418231385,0.48724386620097665,5.293895051957455e-07,0.01848232136712113,0.0,Load Case 2,4.5,0.798028686328635,0.4259539999803672,0.798028686328635,0.6952694566341422,0.6598039390242633,0.6952694566341422,0.056399892395147595,0.38213599994562314,0.27406654729192326,0.38213599994562314,,568.1008419819614,4.5,4.189397064959061,4.5,0.026134690963853686,4.5,0.00936180329212563,921.3418318919242,4.5,2.5831889073274814,4.5,0.06146752692907639,4.66875,0.022441313146891628
435,False,314.9263005588841,314.82031090357304,0.04622675115021796,0.706501025957093,0.17619361908865488,0.0,0.2988145208040701,0.43897792523953566,3.0295594992417457e-06,0.10186500266748359,0.0,Load Case 2,4.5,0.8901849430374644,0.1861219713669807,0.8901849430374644,0.498054407888734,0.8872474109659365,0.498054407888734,0.06934140869249253,0.2538446095627875,0.66904351788226,0.2538446095627875,Minimum factor of safety 0.707 is below the target 1.500.,588.077322799817,4.5,4.047086850193266,4.5,0.020594539221381748,4.5,0.007695631866461929,3368.714145568051,4.5,0.706501025957093,4.5,0.17619361908865488,4.5675,0.05572186780654281
436,False,215.54595202999303,215.49324797471186,0.025811796732088107,0.8435043823836874,0.38186172027016635,0.0,0.13446129274542495,0.32693270524085016,7.777454154149871e-07,0.023599364015475216,0.0,Load Case 2,5.5,0.3124437232604407,0.22402608482234265,0.3124437232604407,0.40399279578888353,0.7372698091396565,0.40399279578888353,0.05610760604076688,0.1575574939957699,0.494049865338592,0.1575574939957699,Minimum factor of safety 0.844 is below the target 1.500.,757.4994507930552,4.5,3.1419164693892343,4.5,0.046583339565132845,4.5,0.01929563234065689,2821.5621041283484,5.5,0.8435043823836874,5.5,0.38186172027016635,4.7475,0.15319666987747543
437,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8783853821258703,0.3085442488783955,0.8783853821258703,0.343869482762915,0.6908657797037009,0.343869482762915,0.11173351914736127,0.0487294964635256,0.7580349515493002,0.0487294964635256,Web openings are too large; keep a remaining ligament larger than 0.112 in.,,,,,,,,,,,,,,
438,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8003623110922375,0.498324664356926,0.8003623110922375,0.5352056858379212,0.5699157827405257,0.5352056858379212,0.07316652403622032,0.4140086931791889,0.7513470272013139,0.4140086931791889,Web openings are too large; keep a remaining ligament larger than 0.073 in.,,,,,,,,,,,,,,
439,False,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,invalid,nan,0.8420682581380701,0.8011607639320852,0.8420682581380701,0.30334171651396047,0.5875136785367181,0.30334171651396047,0.0897705425669594,0.5311987653636348,0.8106663453450015,0.5311987653636348,Web openings are too large; keep a remaining ligament larger than 0.090 in.,,,,,,,,,,,,,,
440,True,0.15573780299462164,0.0,0.03116966580214221,2.465282824330299,0.06177498619215131,0.9652828243302989,0.3898979532256274,0.46288312104808066,6.49503473166109e-07,0.02237905347667216,0.0,Load Case 2,5.5,0.31666733739605146,0.6211815148009618,0.31666733739605146,0.7977914188955237,0.6792265565571222,0.7977914188955237,0.04103428809616225,0.3582642084427823,0.2087614393458799,0.3582642084427823,,523.4315378883102,4.5,4.546917462409084,4.5,0.027021750429383602,4.5,0.010166372314485708,965.4064744666907,5.5,2.465282824330299,5.5,0.06177498619215131,4.882499999999999,0.02893659188066331
