evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,uniformity_score,symmetry_score,smoothness_score,durability_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
860,True,163.472309125225,0.0,0.07906815347874922,4.410188802542629,0.042166524966540206,2.9101888025426286,0.6374089469975737,0.537148246291231,0.14677457836993033,0.01391682835993697,0.0,Load Case 2,5.5,0.3567150098458417,0.4474813576611119,0.6412410260530004,0.7476320801789897,0.9978239979488698,0.5720988333871817,0.0935486102215635,0.020873026999083614,0.11995030302713824,0.19951535939609477,,198.54806957484837,4.5,11.987021606889968,4.5,0.008717443368162693,4.5225,0.0035855545130466333,539.6594355842195,5.5,4.410188802542629,5.5,0.042166524966540206,4.5225,0.01682200590349714
861,True,55.67718970584595,0.0,0.08310186575344436,3.119850777817421,0.06913920339266899,1.6198507778174212,0.5593704375060334,0.4022889157685339,0.1626058448903103,0.012162393747190896,0.0,Load Case 2,4.5,0.368446454665582,0.36344976143508184,0.6697725858764408,0.8323378760356092,0.7755345040192829,0.8152080885456795,0.10566795272335854,0.05198258351780243,0.07841965997526207,0.19031865891131802,,329.6095169586747,4.5,7.220665294984174,4.5,0.013748369429867636,4.4325,0.005159804843914173,762.8569984571492,4.5,3.119850777817421,4.5,0.06913920339266899,4.455,0.02600879328007311
862,True,102.41111114632264,0.0,0.05878368813688352,3.7657717760987177,0.0421479613600866,2.2657717760987177,0.607989965129108,0.48488982052294954,0.0757926422318922,0.004464713115968112,0.0,Load Case 2,5.5,0.5450040082195753,0.5162815194170098,0.5244020469024171,0.5298216072586166,0.8496276696680585,0.8990893934453679,0.06521642244795937,0.13424893148142858,0.042170733317391754,0.1760786711269628,,298.4042673586714,4.5,7.9757572539648836,4.5,0.013921397459543844,4.297499999999999,0.005982118378006043,632.008560663664,5.5,3.7657717760987177,5.5,0.0421479613600866,4.725,0.017153757571747173
863,True,20.080822130121383,0.0,0.04842189039249503,2.3967711339067557,0.08596177488828055,0.8967711339067557,0.44667798742058545,0.2589850233271353,0.10221021805823712,0.005804820159762825,0.0,Load Case 2,5.5,0.38335424879665353,0.41378812882106064,0.6297821626806636,0.5278081691156168,0.5594873972624678,0.5919465321508974,0.07412871187424924,0.16037079525779574,0.11774928229792522,0.2338552335204888,,627.005823319225,4.5,3.7958180155342514,4.5,0.038674023505663555,4.3875,0.015138135986321062,993.0026135288861,5.5,2.3967711339067557,5.5,0.08596177488828055,4.5112499999999995,0.03278692869519046
864,True,14.2276268573668,0.0,0.05837545438865835,2.200668351285072,0.09266923048134246,0.700668351285072,0.47310936014952415,0.24352743140545627,0.005301784329218015,0.0089614150504732,0.0,Load Case 2,5.5,0.545354796025022,0.3683097450302251,0.5817420554656618,0.5624134423765993,0.5508717410142239,0.5846101954163128,0.09167357957253783,0.24689773095027046,0.10776404265300821,0.15652453571271968,,635.1564530229314,4.5,3.747108273359656,4.5,0.03676431006588235,4.4775,0.013472788784041066,1081.489629552862,5.5,2.200668351285072,5.5,0.09266923048134246,4.66875,0.03441913816078142
865,True,102.3930157142824,0.0,0.07473521619171543,3.7610146913640805,0.039526721009759395,2.2610146913640805,0.6271567886335591,0.5023998992619553,0.07196168201129007,0.004649706508822024,0.0,Load Case 2,5.5,0.49756777941356234,0.5583187008063548,0.4320579363065775,0.8485994522415456,0.6500027387064656,0.5528622933536405,0.09776467458512347,0.11357679243137421,0.05067853088410316,0.19544703640659303,,330.98692802967645,4.5,7.190616300673385,4.5,0.018256476448857514,4.69125,0.007540756103530539,632.8079508609414,5.5,3.7610146913640805,5.5,0.039526721009759395,4.95,0.017990485940487713
866,True,44.22787935353845,0.0,0.08116359904277824,2.913573595468692,0.0668271411485539,1.413573595468692,0.5704019206199882,0.39092945712718263,0.027096339512132868,0.005853694844190324,0.0,Load Case 2,5.5,0.5325745391681536,0.37575657011434005,0.466728070409027,1.0217743264357728,0.8199135919622115,0.8809520412563618,0.0909240864816824,0.1935782989308358,0.0001686294106605377,0.011816640786646565,,316.0695387363799,4.5,7.529988525673954,4.5,0.012015549781502814,4.5675,0.004469210438822456,816.8662716127963,5.5,2.913573595468692,5.5,0.0668271411485539,4.7924999999999995,0.026606408715734012
867,False,43.96629341195776,0.0,0.05844745066777609,2.904070816578433,0.06371014739345508,1.4040708165784328,0.5717359356399662,0.3894159992003788,0.09250399925773459,0.025739262762568927,0.0052339376432872856,Load Case 2,4.5,0.718194333552173,0.35343981765999183,0.6876518947697863,0.6131246653090634,0.9636529614005469,1.0861854187931046,0.061681814103641985,0.18625094450579413,0.18959530271060182,0.16199835704456667,Durability check failed: minimum shell area ratio 0.247 is below 0.300.,326.6055477084151,4.5,7.287077689582915,4.5,0.011712744861986436,4.32,0.004797386439487285,819.5392434693134,4.5,2.904070816578433,4.5,0.06371014739345508,4.635,0.022868534255168407
868,True,40.75812245356297,0.0,0.05905123858176175,2.8639267639928274,0.07464260629807133,1.3639267639928274,0.47457640292770376,0.34790649968526033,0.15991946591541972,0.007564997147002131,0.0,Load Case 2,5.5,0.26926194091723077,0.4160942308838441,0.5355084215365769,0.6950779233491255,0.7247025331147948,0.5396563171632915,0.08720286610121236,0.23991031658208603,0.0580344755766216,0.21647067205791065,,371.3216185494462,4.5,6.40953793451989,4.5,0.020190610958667615,4.5225,0.007934226548810715,831.0268369718551,5.5,2.8639267639928274,5.5,0.07464260629807133,4.5,0.030733115017187455
869,True,39.446199920245355,0.0,0.07136039322528606,2.8152705919336816,0.06086302969111217,1.3152705919336816,0.5754966877268484,0.3932540624442041,0.1109223446928184,0.021372958234389835,0.0,Load Case 2,4.5,0.4549522294113477,0.4300250545073319,0.7364412320902362,0.8498420645878106,0.5474731864493134,0.966633798276676,0.08603319497085547,0.013028267971116923,0.12011697816624749,0.07933132990406709,,582.3010637678558,4.5,4.087232787451729,4.5,0.026253296925918865,4.42125,0.009246795179460645,845.389429641037,4.5,2.8152705919336816,4.5,0.06086302969111217,4.5,0.021923304326881818
