evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,excess_factor_of_safety,underutilization_score,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
1,False,inf,inf,inf,0.0,inf,inf,inf,invalid,nan,0.6513214785877939,1.4576203345784522,0.8219265542062183,1.228400989598282,1.5218339105486525,0.6031589838966022,0.1725856659879742,0.3862625392422541,0.5329262778572583,0.6323165148412797,Web openings are too large; keep a remaining ligament larger than the wall thickness.,,,,,,,,,,,,,,
2,True,20374.944565856804,0.0,0.24179413288996177,83.91037710050061,0.0006021759757164802,82.41037710050061,0.973367279233522,Load Case 1,4.0,1.3986095332088164,1.4232483868548247,0.7637437780149141,1.1903477777681855,1.812461235217226,1.9319964114948387,0.13297107659614088,0.20835586802023476,0.08276500169767377,0.06899695621701714,,28.363595567559436,4.0,83.91037710050061,4.0,0.0006021759757164802,3.85,0.0002571286217551478,22.159449817388833,2.49,107.40338860454831,2.49,0.0004566966432755009,3.74,0.00020188911480280457
3,True,3374.9106089693614,0.0,0.19976447121078628,35.03816283869717,0.0016092849985031056,33.53816283869717,0.9524823774915167,Load Case 1,4.0,0.5735427069210282,1.2881775499873724,1.5451528391169598,1.8728388903553692,1.065605763426401,1.4649689117439872,0.13322850514595264,0.0706264816533634,0.2778802432145607,0.1105942624865715,,67.92593581337714,4.0,35.03816283869717,4.0,0.0016092849985031056,4.0200000000000005,0.0005632200573276944,46.9761642017076,0.0,50.66399184447432,0.0,0.000923599156998312,3.2,0.000500895034578593
4,True,2333.0234760476515,0.0,0.18040294593935832,29.384034310659256,0.0025779448142613987,27.884034310659256,0.9498826254807957,Load Case 1,4.0,1.3827276372494812,0.5421639806768591,1.1154505957946337,1.1364701579384255,1.3489664784899582,1.3063959250244332,0.17304852458230335,0.2526292068957126,0.5673748190121791,0.24620381313054962,,80.99636608226525,4.0,29.384034310659256,4.0,0.0017342072022449076,3.99,0.000631357940830772,80.83429037807991,4.0,29.442950372523985,4.0,0.0025779448142613987,3.91,0.0008985252107464863
5,True,705.6084295513018,0.0,0.13895560659423817,16.831742299265205,0.0009404460786337538,15.331742299265205,0.9416938382462842,Load Case 2,0.0,0.45496974216450214,1.3830109208360788,1.4479965787484534,1.9042758022652218,1.7630309474415777,1.8284834009764688,0.08673105383497198,0.4826172982301044,0.19883924403249853,0.5355897852696128,,43.61033763357586,4.0,54.574216324517145,4.0,0.0008242315858299051,3.91,0.00032938224374487836,141.3995032530827,0.0,16.831742299265205,0.0,0.0009404460786337538,3.0,0.0005854078633196532
6,True,654.3811058315496,0.0,0.0776220734519012,16.26524925858056,0.0074773729635349145,14.76524925858056,0.8857558468540806,Load Case 2,2.49,0.6031080149296788,0.4791728587510779,0.859423045159686,1.3774900559409313,1.456719777724293,1.252993736202039,0.07569864295582206,0.5150273768441714,0.1681944610379211,0.5080686698414101,,119.38429485435368,4.0,19.935620534539737,4.0,0.0028726288647823225,3.99,0.0010837877776677428,146.3242254799419,2.49,16.26524925858056,2.49,0.0074773729635349145,3.56,0.0032037691390847554
7,True,4966.576993570347,0.0,0.15544853645754755,42.18634478310252,0.0010031915520328238,40.68634478310252,0.9519653513628035,Load Case 1,4.0,1.2726220551906955,0.9860371217280466,0.9461616080800965,1.7559055151209078,1.5503372050208173,1.6554549887662389,0.12622849269033673,0.6381862593243959,0.5708414714746234,0.28863783827181777,,56.41635965942454,4.0,42.18634478310252,4.0,0.0010031915520328238,4.05,0.0003748570385404739,49.26424065837588,2.49,48.310903978083616,2.49,0.0009720303027656641,3.81,0.00038826821980380557
8,True,1239.9520803551286,0.0,0.0948630163694013,21.82718479828733,0.0027887283199166113,20.32718479828733,0.9129728919624606,Load Case 1,0.0,1.4467038752388475,0.9734254716583475,0.5612377420323331,0.8943438333040321,1.2940108005119921,1.2445155378967352,0.07415637570190527,0.6410896430786209,0.13313344388689072,0.11933486993996566,,109.03834012468464,0.0,21.82718479828733,0.0,0.0027887283199166113,3.99,0.0011006368923468515,59.874517303029144,2.49,39.74979853206419,2.49,0.0019544384848993244,4.05,0.000837782902732287
9,True,2992.9557182939757,0.0,0.12436568292517552,33.08349203641587,0.0017178913438343777,31.58349203641587,0.9348165600551092,Load Case 1,4.0,0.7977017503018093,1.4285717833022389,0.645190038077222,1.2436057714237145,1.1704090837906387,1.7534133971141512,0.10888200661284142,0.4469680755814294,0.5148000306323627,0.6561972734461172,,71.93920150207455,4.0,33.08349203641587,4.0,0.0017178913438343777,3.87,0.0006826957233727225,51.14897100125346,0.0,46.5307503437689,0.0,0.0009140648974716057,3.45,0.00046466427956945303
10,True,2097.7385479337886,0.0,0.13154242562120308,27.940671072164097,0.0024697926098273012,26.440671072164097,0.9324842301377753,Load Case 1,4.0,0.9850823098038042,0.964501875986987,1.5475784426824273,0.7448304780104182,1.2085934887645677,1.3857848101305341,0.10598353571384703,0.14826309232154108,0.4341453536829408,0.30540938062596734,,85.18048810828584,4.0,27.940671072164097,4.0,0.0024697926098273012,3.67,0.0011122670038173704,60.825243075644984,2.49,39.128491390328286,2.49,0.001584021377738725,3.37,0.0007523794128890406
